"reviewer","time","brewery","name","style","abv","aroma","appearance","palate","taste","overall","total","average"
"MichaelinFishers",2009-03-15 01:06:58,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,2,4,4,4,4,18,3.6
"adamette",2009-03-15 22:28:24,"Voodoo Brewing Company","Voodoo Love Child","Belgian Strong Pale Ale",10.5,4,4.5,4,4,4.5,21,4.2
"olmatty",2009-03-16 03:16:22,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4,4,4,20,4
"Thorpe429",2009-03-18 21:01:35,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,5,4.5,4,4,4,21.5,4.3
"schroederm",2009-03-21 11:04:20,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,4.5,4,3.5,4,4,20,4
"dsa7783",2009-03-21 21:39:37,"Victory Brewing Company","Braumeister Harvest Pils","German Pilsener",6.1,4,3.5,4,4.5,4,20,4
"johnmichael712",2009-03-25 20:09:20,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,2.5,3.5,2.5,3,3,14.5,2.9
"Floydster",2009-03-25 21:48:28,"Voodoo Brewing Company","Black Magick","American Double / Imperial Stout",15,4.5,5,4.5,3.5,3.5,21,4.2
"BarrytheBear",2009-03-26 20:43:48,"Troegs Brewing Company","Scratch Beer 18 - 2009","Rye Beer",7.3,3,4,4,3.5,4,18.5,3.7
"yuenglings",2009-03-27 14:59:35,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,4.5,4,4.5,4.5,21.5,4.3
"ColForbinBC",2009-03-28 22:13:03,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,4.5,4,4.5,4.5,4,21.5,4.3
"kimcgolf",2009-03-28 22:13:34,"Victory Brewing Company","Donnybrook Stout","Irish Dry Stout",3.7,3.5,3.5,2,3.5,4,16.5,3.3
"BarrelO",2009-03-29 18:17:09,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,4.5,4,4,4.5,21.5,4.3
"MikeTaz",2009-03-29 20:13:08,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,3.5,4,3.5,3.5,18.5,3.7
"TheFightfan1",2009-04-01 18:44:15,"Yards Brewing Company","Extra Special Ale (ESA)","Extra Special / Strong Bitter (ESB)",6.3,2.5,4,3.5,3,3,16,3.2
"badmoon",2009-04-05 00:17:02,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4.5,4,4,4.5,4.5,21.5,4.3
"nrbw23",2009-04-05 17:52:39,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4,4,4.5,20.5,4.1
"BeardedBoffin",2009-04-05 18:48:18,"Victory Brewing Company","V-Twelve","Quadrupel (Quad)",12,4.5,4,4,4,3.5,20,4
"ffejherb",2009-04-06 21:55:17,"Yuengling Brewery","Yuengling Bock","Bock",5.1,3,3.5,3.5,3.5,4,17.5,3.5
"JoKo",2009-04-07 22:09:54,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,4.5,4.5,4,4,21,4.2
"JerzDevl2000",2009-04-09 02:09:12,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,3.5,3.5,3.5,3.5,4,18,3.6
"Rhadryn",2009-04-11 10:24:15,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,3.5,2.5,3.5,4,16.5,3.3
"mjw06",2009-04-11 13:51:07,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3.5,4,4,4,4,19.5,3.9
"jmfc8237",2009-04-11 21:50:22,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,4.5,5,5,23,4.6
"paulthebeerguru",2009-04-12 16:59:14,"Victory Brewing Company","Baltic Thunder","Baltic Porter",8.5,4,4.5,4,4,4.5,21,4.2
"MetalHopHead6",2009-04-12 18:24:52,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,5,4,4.5,5,4,22.5,4.5
"bonbini26",2009-04-13 11:40:25,"Victory Brewing Company","Harvest Ale 2008","American Pale Ale (APA)",5.7,4,4,4.5,4.5,4,21,4.2
"ajr24",2009-04-14 01:09:32,"Troegs Brewing Company","Scratch Beer 16 - 2008","Winter Warmer",6.3,3.5,4,3.5,4,4,19,3.8
"rugerj",2009-04-14 10:17:05,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4,4,4,20,4
"bonkers",2009-04-15 20:08:54,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,4.5,4,3.5,4.5,4,20.5,4.1
"Stockfan42",2009-04-16 14:06:11,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,3,4,4.5,4,20,4
"ajr24",2009-04-16 16:24:46,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,3.5,4,4,4,3.5,19,3.8
"ClockworkOrange",2009-04-17 01:35:07,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,3.5,4,3,3.5,3.5,17.5,3.5
"FtownThrowDown",2009-04-18 10:30:32,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,4,4,4.5,4.5,4.5,21.5,4.3
"ffejherb",2009-04-19 18:25:51,"Victory Brewing Company","Rauch Porter","American Porter",5.7,4,4,4,4,4,20,4
"TheFightfan1",2009-04-19 19:08:41,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,4,3.5,4.5,4.5,5,21.5,4.3
"iuhoosier336",2009-04-19 19:16:40,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,3.5,4,3.5,4,4,19,3.8
"Gosox8787",2009-04-20 20:51:51,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,4,5,4,21.5,4.3
"kshankar",2009-04-21 01:23:21,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,3.5,3.5,3.5,3.5,4,18,3.6
"kbnooshay",2009-04-22 23:49:38,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,4,4,4,4,4,20,4
"SpencerSauce",2009-04-23 19:53:33,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4.5,4.5,4,4,4,21,4.2
"jackorain",2009-04-24 18:54:08,"Victory Brewing Company","Wild Devil","Belgian IPA",6.7,4,4.5,4,4,4,20.5,4.1
"Gyle41386",2009-04-25 00:33:25,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3.5,3,4,4,3.5,18,3.6
"gameface23",2009-04-25 09:46:34,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4.5,4.5,4.5,4.5,4.5,22.5,4.5
"Durge",2009-04-25 11:23:48,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,4,4,4,4.5,20.5,4.1
"Kolsch",2009-04-26 09:30:11,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,3,3,3,3,3,15,3
"IMincedTheKing",2009-04-26 16:56:57,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,4,4.5,4.5,4.5,21,4.2
"keplertronics",2009-04-29 00:54:25,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3,5,4,4.5,3.5,20,4
"TheTrevor",2009-05-01 14:29:30,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,3.5,3.5,4,3.5,18.5,3.7
"grub",2009-05-03 19:00:18,"Troegs Brewing Company","Scratch Beer 18 - 2009","Rye Beer",7.3,4.5,4,4,4.5,4.5,21.5,4.3
"LumpyGuitar",2009-05-05 22:24:25,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,4,3.5,3,3.5,3.5,17.5,3.5
"washburnkid",2009-05-06 18:56:56,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4,4,4,4.5,21,4.2
"Stinkypuss",2009-05-07 20:41:46,"Victory Brewing Company","Wild Devil","Belgian IPA",6.7,4,4,4,4.5,3.5,20,4
"LordAdmNelson",2009-05-07 23:45:19,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,4,4,4,20.5,4.1
"drcarver",2009-05-09 13:48:39,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,4,4.5,4,3.5,4,20,4
"Zorro",2009-05-09 22:09:24,"Troegs Brewing Company","Scratch Beer 15 - 2008","Oatmeal Stout",6,3.5,4,3.5,4,4,19,3.8
"projectflam86",2009-05-10 00:37:23,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4,4,4,20,4
"Philabeerphia",2009-05-10 19:00:03,"Troegs Brewing Company","Scratch Beer 18 - 2009","Rye Beer",7.3,4,4,4,3.5,4.5,20,4
"bklynbeerbaron",2009-05-11 23:35:44,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,4,3,3,3,3,16,3.2
"BeerCon5",2009-05-12 16:25:53,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3.5,4,4,4,4,19.5,3.9
"BirdFlu",2009-05-13 01:27:45,"Victory Brewing Company","Moonglow Weizenbock","Weizenbock",8.7,3,3.5,3.5,2.5,2,14.5,2.9
"cokes",2009-05-13 03:44:46,"Victory Brewing Company","Wild Devil","Belgian IPA",6.7,3.5,4.5,2.5,3,3.5,17,3.4
"PEBKAC",2009-05-13 20:24:32,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,3.5,4.5,4,4.5,4.5,21,4.2
"chaz410",2009-05-13 22:30:30,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4,3.5,4,4.5,4,20,4
"RblWthACoz",2009-05-14 16:23:25,"Troegs Brewing Company","Scratch Beer 15 - 2008","Oatmeal Stout",6,3.5,4.5,4.5,4,4,20.5,4.1
"MurphyMacManus",2009-05-16 21:41:42,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,3,4,4,2.5,17.5,3.5
"DoctorDog",2009-05-16 23:54:41,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3.5,2.5,3.5,3.5,3.5,16.5,3.3
"angelmonster",2009-05-20 22:32:42,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3.5,3.5,3.5,4.5,4.5,19.5,3.9
"lonestar4lunch",2009-05-21 20:50:14,"Victory Brewing Company","Wild Devil","Belgian IPA",6.7,4,3.5,3,4,3.5,18,3.6
"mikesgroove",2009-05-23 21:55:04,"Troegs Brewing Company","Scratch Beer 18 - 2009","Rye Beer",7.3,4,4.5,4,4,4,20.5,4.1
"Bitterbill",2009-05-24 14:45:32,"Victory Brewing Company","Abbey 8","Dubbel",7.6,4,4.5,3,3.5,3,18,3.6
"gciccarelli",2009-05-24 15:18:39,"Yuengling Brewery","Lord Chesterfield Ale","American Pale Ale (APA)",5.4,2.5,3,3.5,2.5,4.5,16,3.2
"OnThenIn",2009-05-24 22:40:54,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,4,3.5,3.5,18.5,3.7
"wesbrownyeah",2009-05-24 23:32:45,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3,2.5,4,3,4,16.5,3.3
"webbcreative",2009-05-24 23:57:15,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,3.5,5,4,4.5,3,20,4
"yuenglings",2009-05-26 07:44:44,"Yuengling Brewery","Yuengling Premium Beer","American Pale Lager",4.4,3,4,3,2.5,4,16.5,3.3
"BitterPachyderm",2009-05-28 10:06:03,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,3,3,2.5,3,3,14.5,2.9
"taylor714914",2009-05-28 18:04:38,"Troegs Brewing Company","Scratch Beer 19 -  2009","American Double / Imperial Stout",9.5,4.5,4.5,4,4.5,4,21.5,4.3
"DNICE555",2009-05-30 21:07:30,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,4.5,4.5,4.5,4,21.5,4.3
"BeerSox",2009-05-31 19:59:36,"Victory Brewing Company","Wild Devil","Belgian IPA",6.7,4,4,4,4,4,20,4
"tai4ji2x",2009-05-31 23:26:25,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,4,4,3.5,3.5,4,19,3.8
"slatetupelo",2009-05-31 23:35:34,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4.5,4,4,4.5,21,4.2
"grayburn",2009-06-01 14:38:01,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,4,3.5,4,19,3.8
"SPRichard",2009-06-05 14:33:32,"Yards Brewing Company","Yards Saison","Saison / Farmhouse Ale",6.5,3.5,3,3.5,4,3.5,17.5,3.5
"tjthresh",2009-06-05 22:13:35,"Voodoo Brewing Company","Big Black Voodoo Daddy","American Double / Imperial Stout",12.5,4,4,3,3.5,4,18.5,3.7
"farrago",2009-06-05 22:42:14,"Victory Brewing Company","Old Horizontal","American Barleywine",11,4.5,3.5,4,4,4,20,4
"drgonzo3705",2009-06-05 22:56:53,"Victory Brewing Company","Wild Devil","Belgian IPA",6.7,3.5,4,4,3.5,3,18,3.6
"BenSelf",2009-06-05 23:51:39,"Victory Brewing Company","Golden Monkey","Tripel",9.5,4,3,3.5,4,3.5,18,3.6
"jkrich",2009-06-07 18:50:38,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,4,4,4,4,4.5,20.5,4.1
"NewGeneric",2009-06-08 22:05:11,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,2,3.5,4,3.5,4,17,3.4
"Risser09",2009-06-09 13:45:08,"Yards Brewing Company","General Washington's Tavern Porter","English Porter",7,4,3.5,4,4,4.5,20,4
"Kegatron",2009-06-11 13:08:32,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,4.5,4.5,4.5,4.5,4.5,22.5,4.5
"stephens101",2009-06-12 16:54:40,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4.5,4,4,4.5,21,4.2
"Onenote81",2009-06-15 12:33:13,"Troegs Brewing Company","Troegs Pale Ale","American Pale Ale (APA)",5.4,3.5,4,4,4.5,4,20,4
"MusicmanSD",2009-06-17 00:13:09,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3,3.5,2.5,3,4,16,3.2
"dancinwillie",2009-06-18 22:42:45,"Victory Brewing Company","Wild Devil","Belgian IPA",6.7,4,4,4,4,4.5,20.5,4.1
"SPRichard",2009-06-20 14:18:21,"Victory Brewing Company","132 Cents IPA","American IPA",6.8,4,4,4,4.5,4,20.5,4.1
"MaltyBob",2009-06-20 17:30:37,"Yuengling Brewery","Yuengling Light Lager","Light Lager",3.4,3,3.5,3,3,3.5,16,3.2
"ClockworkOrange",2009-06-22 01:18:18,"Victory Brewing Company","Baltic Thunder","Baltic Porter",8.5,3.5,4,3.5,3.5,4,18.5,3.7
"hopdog",2009-06-22 11:50:53,"Victory Brewing Company","Saphir Weiss","Hefeweizen",4.8,3,3,3,3,3,15,3
"mtnbikerpa",2009-06-22 16:38:20,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,4.5,4.5,4,4.5,22,4.4
"tone77",2009-06-22 20:05:00,"Troegs Brewing Company","Troegs Rugged Trail Nut Brown Ale","English Brown Ale",4.4,3.5,3.5,3.5,2.5,2.5,15.5,3.1
"LumpyGuitar",2009-06-22 23:22:24,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,4,3.5,3.5,4,4,19,3.8
"hwwty4",2009-06-23 19:41:48,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,2.5,4,2.5,2.5,3,14.5,2.9
"EPICAC",2009-06-23 22:24:12,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,4,4,4,4,4,20,4
"brothercannon",2009-06-23 23:03:55,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,4.5,4.5,4.5,5,22.5,4.5
"bigdeuce",2009-06-24 19:57:04,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,4,4.5,4,4,4,20.5,4.1
"callmemickey",2009-06-24 22:14:26,"Troegs Brewing Company","Scratch Beer 20 - 2009","American Double / Imperial IPA",7,4,4.5,4,4.5,4.5,21.5,4.3
"taez555",2009-06-27 16:20:10,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,4,4,3.5,3.5,19,3.8
"Gyle41386",2009-06-27 22:04:32,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,4,3.5,4,4,4.5,20,4
"tai4ji2x",2009-06-28 11:31:23,"Troegs Brewing Company","Scratch Beer 16 - 2008","Winter Warmer",6.3,4,4.5,3.5,3.5,3.5,19,3.8
"aglose45",2009-06-29 17:45:24,"Troegs Brewing Company","Scratch Beer 20 - 2009","American Double / Imperial IPA",7,4,5,4,4.5,4.5,22,4.4
"ffejherb",2009-06-29 22:14:21,"Victory Brewing Company","Hallertauer Pils","German Pilsener",5.3,4,4,3.5,4,4,19.5,3.9
"ToddT",2009-07-05 03:38:22,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,3.5,3.5,4,4,4.5,19.5,3.9
"farrago",2009-07-05 15:39:27,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,4,3.5,4,3.5,4,19,3.8
"bobsy",2009-07-07 10:45:01,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4,4.5,4,4,20.5,4.1
"xpimptastikx",2009-07-07 19:44:59,"Voodoo Brewing Company","Black Magick","American Double / Imperial Stout",15,4.5,4.5,4.5,3.5,3.5,20.5,4.1
"JoeyBeerBelly",2009-07-07 21:30:39,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3.5,3.5,4,3.5,4,18.5,3.7
"maximum12",2009-07-07 21:40:05,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,4.5,4.5,4.5,5,4.5,23,4.6
"NODAK",2009-07-07 23:38:30,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,4,3.5,4.5,5,21,4.2
"CJfromPhilly",2009-07-08 16:09:35,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,3.5,4,4,4.5,20,4
"sudz42",2009-07-08 19:10:49,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4,3,3.5,3.5,2.5,16.5,3.3
"nicnut45",2009-07-12 16:45:19,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4.5,4.5,4.5,4,4,21.5,4.3
"younger35",2009-07-14 17:25:49,"Voodoo Brewing Company","Big Black Voodoo Daddy","American Double / Imperial Stout",12.5,4,4,4,4,4,20,4
"OlieIPA",2009-07-16 01:31:43,"Voodoo Brewing Company","Black Magick","American Double / Imperial Stout",15,4,3.5,4.5,3.5,4,19.5,3.9
"shanecb",2009-07-18 21:23:58,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,2.5,4,4,4,5,19.5,3.9
"popery",2009-07-20 02:30:09,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,4,3.5,4,3.5,19,3.8
"aerozeppl",2009-07-20 18:34:03,"Troegs Brewing Company","The Drafting Room 15th Anniversary Ale","American Double / Imperial IPA",8.5,4.5,4,4.5,4.5,4.5,22,4.4
"njmoons",2009-07-20 21:35:35,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,4,2.5,4,4,4,18.5,3.7
"thecarster1",2009-07-21 22:49:40,"Victory Brewing Company","Golden Monkey","Tripel",9.5,3.5,3.5,3,3,3.5,16.5,3.3
"Cyberkedi",2009-07-22 20:58:56,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3,4,3.5,4,3.5,18,3.6
"goblue3509",2009-07-24 10:57:59,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4,4.5,4.5,5,4.5,22.5,4.5
"BeerImmediately",2009-07-24 22:25:54,"Victory Brewing Company","Saphir Weiss","Hefeweizen",4.8,4,3.5,3,3,3.5,17,3.4
"jkrich",2009-07-26 18:41:30,"Troegs Brewing Company","Troegs Sunshine Pils","German Pilsener",5.3,3.5,3.5,4,4,4,19,3.8
"DIM",2009-07-27 06:43:54,"Troegs Brewing Company","Scratch Beer 20 - 2009","American Double / Imperial IPA",7,4.5,3.5,4,4.5,4.5,21,4.2
"Lambstrong",2009-07-27 18:43:55,"Victory Brewing Company","Saphir Pils","German Pilsener",5,3.5,3.5,4.5,4.5,4,20,4
"jdg204",2009-07-27 21:50:19,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,4,4,3.5,3.5,3.5,18.5,3.7
"Hojaminbag",2009-08-01 15:45:13,"Troegs Brewing Company","Scratch Beer 21 (Naked Elf)","Belgian Strong Pale Ale",7.8,4.5,3.5,4,4.5,4,20.5,4.1
"rfgetz",2009-08-03 11:34:08,"Voodoo Brewing Company","Big Black Voodoo Daddy","American Double / Imperial Stout",12.5,4,5,4.5,4.5,4,22,4.4
"cpone",2009-08-03 17:45:11,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,4,3.5,3,3.5,4,18,3.6
"biggred1",2009-08-05 19:33:36,"Victory Brewing Company","Whirlwind Witbier","Witbier",5,4,4,3.5,4,3.5,19,3.8
"Muller",2009-08-05 21:00:58,"Yards Brewing Company","Yards Saison","Saison / Farmhouse Ale",6.5,4,4,4,4,4,20,4
"Brownsfan7",2009-08-07 22:16:44,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4.5,5,4.5,5,4.5,23.5,4.7
"Auspice",2009-08-08 00:56:40,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,3.5,3,4,4.5,4,19,3.8
"Derek",2009-08-08 20:47:47,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,4,4,4,4,4,20,4
"marlinsfan4",2009-08-08 22:09:05,"Victory Brewing Company","Sunrise Weiss","Hefeweizen",5.7,4,4,4,4,4.5,20.5,4.1
"sisuspeed",2009-08-10 20:29:50,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,3.5,4,4.5,4,4,20,4
"jackorain",2009-08-11 18:38:43,"Victory Brewing Company","St. Boisterous","Maibock / Helles Bock",7.4,3.5,3.5,4,3.5,3.5,18,3.6
"johnmichaelsen",2009-08-14 08:25:48,"Victory Brewing Company","Helios  (V Saison)","Saison / Farmhouse Ale",7.5,4,3.5,4,4,4,19.5,3.9
"ShogoKawada",2009-08-14 19:38:10,"Victory Brewing Company","Wild Devil","Belgian IPA",6.7,4,4.5,5,4.5,4,22,4.4
"deaconoflove",2009-08-15 15:11:47,"Victory Brewing Company","Uncle Teddy's Bitter","English Bitter",4,3.5,4,4,4.5,5,21,4.2
"clayrock81",2009-08-15 22:06:19,"Victory Brewing Company","St. Victorious","Doppelbock",7.6,4,4,4,4,4,20,4
"thepeter",2009-08-17 07:37:22,"Victory Brewing Company","Hop Wallop","American Double / Imperial IPA",8.5,4,3.5,3.5,4.5,2.5,18,3.6
"WalrusJockey",2009-08-19 23:04:56,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,4.5,4,4,4.5,4,21,4.2
"mltobin",2009-08-21 20:21:04,"Troegs Brewing Company","Troegs Nugget Nectar","American Amber / Red Ale",7.5,4,4,4,4.5,4,20.5,4.1
"barleywinefiend",2009-08-22 10:42:07,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,3,4.5,3.5,3.5,3.5,18,3.6
"indiapaleale",2009-08-23 20:28:06,"Victory Brewing Company","Helios  (V Saison)","Saison / Farmhouse Ale",7.5,4,4,4,4,4.5,20.5,4.1
"Gambrinus1184",2009-08-23 23:26:37,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,4,4,4.5,4,4.5,21,4.2
"sweetbrew82",2009-08-24 19:57:13,"Victory Brewing Company","Wild Devil","Belgian IPA",6.7,3.5,4.5,4,2.5,2,16.5,3.3
"popery",2009-08-24 23:25:09,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,4.5,4,4,4.5,5,22,4.4
"Kendo",2009-08-26 21:37:24,"Troegs Brewing Company","Flying Mouflan","American Barleywine",9.3,4.5,4,4,4.5,4,21,4.2
"Kitt",2009-08-28 21:54:22,"Troegs Brewing Company","Troegs Hopback Amber Ale","American Amber / Red Ale",6,2.5,4,5,4.5,4.5,20.5,4.1
"Slatetank",2009-08-29 12:25:26,"Troegs Brewing Company","Troegs Java Head Stout","Oatmeal Stout",7.5,4,4.5,3.5,3.5,3.5,19,3.8
"UDbeernut",2009-08-30 19:32:10,"Yards Brewing Company","Philadelphia Pale Ale","American Pale Ale (APA)",4.3,3.5,3.5,4,3.5,4,18.5,3.7
"mikel52588",2009-08-30 20:38:41,"Victory Brewing Company","HopDevil Ale","American IPA",6.7,3.5,4.5,4,4.5,4.5,21,4.2
"weeare138",2009-09-01 18:25:29,"Victory Brewing Company","Helios  (V Saison)","Saison / Farmhouse Ale",7.5,4,4,4.5,4,4.5,21,4.2
"dismal",2009-09-02 16:46:06,"Victory Brewing Company","Prima Pils","German Pilsener",5.3,3.5,4,4,3.5,4,19,3.8
"sward84",2009-09-03 16:35:29,"Yuengling Brewery","Yuengling Traditional Lager","American Amber / Red Lager",4.4,3.5,3.5,3.5,4,4,18.5,3.7
"WVbeergeek",2009-09-06 01:38:44,"Victory Brewing Company","Helios  (V Saison)","Saison / Farmhouse Ale",7.5,4.5,4.5,4,3.5,4,20.5,4.1
"bbeane",2009-09-06 21:06:47,"Troegs Brewing Company","Troegs Mad Elf","Belgian Strong Dark Ale",11,4.5,3.5,3.5,4,4,19.5,3.9
"morimech",2009-09-07 13:07:50,"Troegs Brewing Company","DreamWeaver Wheat","Hefeweizen",4.8,4,4,3.5,4.5,4.5,20.5,4.1
"HitokiriNate85",2009-09-10 22:09:20,"Troegs Brewing Company","Troegs Dead Reckoning Porter","American Porter",5.4,3,4,4,4,4,19,3.8
"drtth",2009-09-11 21:13:42,"Yards Brewing Company","Thomas Jefferson's Tavern Ale","English Strong Ale",8,4,4.5,4,4,4.5,21,4.2
"yourefragile",2009-09-13 21:04:50,"Victory Brewing Company","Helios  (V Saison)","Saison / Farmhouse Ale",7.5,4,4,4,4.5,4,20.5,4.1
"dsa7783",2009-09-18 18:29:53,"Troegs Brewing Company","Troegs Java Head Stout","Oatmeal Stout",7.5,3.5,4,3.5,3.5,3.5,18,3.6
"smibroncos",2009-09-19 19:05:01,"Yuengling Brewery","Yuengling Black & Tan","Black & Tan",4.7,3,4,3.5,3.5,4,18,3.6
"kegger22",2009-09-20 18:14:08,"Troegs Brewing Company","Troegenator Double Bock","Doppelbock",8.2,3.5,4,3.5,4,4,19,3.8
"westweasel",2009-09-20 18:37:35,"Troegs Brewing Company","Scratch Beer 8 - 2008","Tripel",10.1,4,4.5,4,4,4,20.5,4.1
"heliosphann",2009-09-20 20:38:16,"Troegs Brewing Company","Scratch Beer 5 - 2007","Oatmeal Stout",9.9,4,3,3,3,3,16,3.2
"projectflam86",2009-09-20 23:41:52,"Victory Brewing Company","Storm King Stout","Russian Imperial Stout",9.1,4,4.5,4,4.5,4,21,4.2
"BeerTruth",2009-09-22 19:43:20,"Troegs Brewing Company","Scratch Beer 22 - 2009","Witbier",5.5,3.5,4,4.5,4,4.5,20.5,4.1
"naproxen",2009-09-22 21:54:57,"Troegs Brewing Company","Scratch Beer 22 - 2009","Witbier",5.5,3.5,4,3.5,4,5,20,4
